SAL_ID,Biomarker_Name,Biomarker_Type,Sampling_Method,Collection_Method,Analysis_Method,Collection_site,Disease_Category,Disease_name,Disease_subtype,Fold_Change,Regulation,Exosomal/Non-exosomal,Organism,PMID,Year_of_Publication,ID,Biomarker,Sequence
SAL_20065,Bacteroides forsythus,NA,"Age 34, Female",Salivary samples were collected from two patients with periodontitis (a 34-year-old female patient with severe rapidly progressive periodontitis,Big Dye Terminator Cycle Sequencing Kit (Applied Biosystems) and an ABI PRISM 310 Genetic Analyzer (Applied Biosystems).,Saliva,Dental Disorder,Aggressive periodontitis,NA,NA,NA,NA,Homo sapiens,11021394,2000,816,Microbe,NZ_JAFBJK000000000.1
SAL_20066,Peptostreptococcus sp.,NA,"Age 34, Female",Salivary samples were collected from two patients with periodontitis (a 34-year-old female patient with severe rapidly progressive periodontitis,Big Dye Terminator Cycle Sequencing Kit (Applied Biosystems) and an ABI PRISM 310 Genetic Analyzer (Applied Biosystems).,Saliva,Dental Disorder,Aggressive periodontitis,NA,NA,NA,NA,Homo sapiens,11021394,2000,1262,Microbe,ON222748.1
SAL_20067,Streptococcus salivarius,NA,"Age 34, Female",Salivary samples were collected from two patients with periodontitis (a 34-year-old female patient with severe rapidly progressive periodontitis,Big Dye Terminator Cycle Sequencing Kit (Applied Biosystems) and an ABI PRISM 310 Genetic Analyzer (Applied Biosystems).,Saliva,Dental Disorder,Aggressive periodontitis,NA,NA,NA,NA,Homo sapiens,11021394,2000,1304,Microbe,NZ_AGBV00000000.1
SAL_20068,Streptococcus salivarius,NA,"Age 68, Female",Salivary samples were collected from two patients with periodontitis (a 34-year-old female patient with severe rapidly progressive periodontitis,Big Dye Terminator Cycle Sequencing Kit (Applied Biosystems) and an ABI PRISM 310 Genetic Analyzer (Applied Biosystems).,Saliva,Dental Disorder,Aggressive periodontitis,NA,NA,NA,NA,Homo sapiens,11021394,2000,1304,Microbe,NZ_AGBV00000000.1
SAL_20069,Streptococcus pneumoniae,NA,"Age 68, Female",Salivary samples were collected from two patients with periodontitis (a 34-year-old female patient with severe rapidly progressive periodontitis,Big Dye Terminator Cycle Sequencing Kit (Applied Biosystems) and an ABI PRISM 310 Genetic Analyzer (Applied Biosystems).,Saliva,Dental Disorder,Aggressive periodontitis,NA,NA,NA,NA,Homo sapiens,11021394,2000,1313,Microbe,NZ_PPEV00000000.1
SAL_20070,Streptococcus parasanguinis,NA,"Age 34, Female",Salivary samples were collected from two patients with periodontitis (a 34-year-old female patient with severe rapidly progressive periodontitis,Big Dye Terminator Cycle Sequencing Kit (Applied Biosystems) and an ABI PRISM 310 Genetic Analyzer (Applied Biosystems).,Saliva,Dental Disorder,Aggressive periodontitis,NA,NA,NA,NA,Homo sapiens,11021394,2000,1318,Microbe,NZ_JAHDAA000000000.1
SAL_20071,Streptococcus parasanguinis,NA,"Age 68, Female",Salivary samples were collected from two patients with periodontitis (a 34-year-old female patient with severe rapidly progressive periodontitis,Big Dye Terminator Cycle Sequencing Kit (Applied Biosystems) and an ABI PRISM 310 Genetic Analyzer (Applied Biosystems).,Saliva,Dental Disorder,Aggressive periodontitis,NA,NA,NA,NA,Homo sapiens,11021394,2000,1318,Microbe,NZ_JAHDAA000000000.1
SAL_20072,Gemella haemolysans,NA,"Age 68, Female",Salivary samples were collected from two patients with periodontitis (a 34-year-old female patient with severe rapidly progressive periodontitis,Big Dye Terminator Cycle Sequencing Kit (Applied Biosystems) and an ABI PRISM 310 Genetic Analyzer (Applied Biosystems).,Saliva,Dental Disorder,Aggressive periodontitis,NA,NA,NA,NA,Homo sapiens,11021394,2000,1379,Microbe,NZ_ACDZ00000000.2
SAL_20073,Atopobium parvulum,NA,"Age 34, Female",Salivary samples were collected from two patients with periodontitis (a 34-year-old female patient with severe rapidly progressive periodontitis,Big Dye Terminator Cycle Sequencing Kit (Applied Biosystems) and an ABI PRISM 310 Genetic Analyzer (Applied Biosystems).,Saliva,Dental Disorder,Aggressive periodontitis,NA,NA,NA,NA,Homo sapiens,11021394,2000,1382,Microbe,NC_013203.1
SAL_20074,Streptococcus mitis,NA,"Age 34, Female",Salivary samples were collected from two patients with periodontitis (a 34-year-old female patient with severe rapidly progressive periodontitis,Big Dye Terminator Cycle Sequencing Kit (Applied Biosystems) and an ABI PRISM 310 Genetic Analyzer (Applied Biosystems).,Saliva,Dental Disorder,Aggressive periodontitis,NA,NA,NA,NA,Homo sapiens,11021394,2000,28037,Microbe,NZ_CP014326.1
SAL_20075,Streptococcus mitis,NA,"Age 68, Female",Salivary samples were collected from two patients with periodontitis (a 34-year-old female patient with severe rapidly progressive periodontitis,Big Dye Terminator Cycle Sequencing Kit (Applied Biosystems) and an ABI PRISM 310 Genetic Analyzer (Applied Biosystems).,Saliva,Dental Disorder,Aggressive periodontitis,NA,NA,NA,NA,Homo sapiens,11021394,2000,28037,Microbe,NZ_CP014326.1
SAL_20076,Prevotella melaninogenica,NA,"Age 68, Female",Salivary samples were collected from two patients with periodontitis (a 34-year-old female patient with severe rapidly progressive periodontitis,Big Dye Terminator Cycle Sequencing Kit (Applied Biosystems) and an ABI PRISM 310 Genetic Analyzer (Applied Biosystems).,Saliva,Dental Disorder,Aggressive periodontitis,NA,NA,NA,NA,Homo sapiens,11021394,2000,28132,Microbe,NG_047637.1
SAL_20077,Veillonella parvula,NA,"Age 34, Female",Salivary samples were collected from two patients with periodontitis (a 34-year-old female patient with severe rapidly progressive periodontitis,Big Dye Terminator Cycle Sequencing Kit (Applied Biosystems) and an ABI PRISM 310 Genetic Analyzer (Applied Biosystems).,Saliva,Dental Disorder,Aggressive periodontitis,NA,NA,NA,NA,Homo sapiens,11021394,2000,29466,Microbe,NZ_CP019721.1
SAL_20078,Veillonella parvula,NA,"Age 68, Female",Salivary samples were collected from two patients with periodontitis (a 34-year-old female patient with severe rapidly progressive periodontitis,Big Dye Terminator Cycle Sequencing Kit (Applied Biosystems) and an ABI PRISM 310 Genetic Analyzer (Applied Biosystems).,Saliva,Dental Disorder,Aggressive periodontitis,NA,NA,NA,NA,Homo sapiens,11021394,2000,29466,Microbe,NZ_CP019721.1
SAL_20079,Megasphaera cerevisiae,NA,"Age 68, Female",Salivary samples were collected from two patients with periodontitis (a 34-year-old female patient with severe rapidly progressive periodontitis,Big Dye Terminator Cycle Sequencing Kit (Applied Biosystems) and an ABI PRISM 310 Genetic Analyzer (Applied Biosystems).,Saliva,Dental Disorder,Aggressive periodontitis,NA,NA,NA,NA,Homo sapiens,11021394,2000,39029,Microbe,NZ_LEKT00000000.1
SAL_20080,Veillonella atypica,NA,"Age 34, Female",Salivary samples were collected from two patients with periodontitis (a 34-year-old female patient with severe rapidly progressive periodontitis,Big Dye Terminator Cycle Sequencing Kit (Applied Biosystems) and an ABI PRISM 310 Genetic Analyzer (Applied Biosystems).,Saliva,Dental Disorder,Aggressive periodontitis,NA,NA,NA,NA,Homo sapiens,11021394,2000,39777,Microbe,NZ_AMEX00000000.1
SAL_20081,Veillonella dispar,NA,"Age 34, Female",Salivary samples were collected from two patients with periodontitis (a 34-year-old female patient with severe rapidly progressive periodontitis,Big Dye Terminator Cycle Sequencing Kit (Applied Biosystems) and an ABI PRISM 310 Genetic Analyzer (Applied Biosystems).,Saliva,Dental Disorder,Aggressive periodontitis,NA,NA,NA,NA,Homo sapiens,11021394,2000,39778,Microbe,NZ_GG667606.1
SAL_20082,Stomatococcus mucilaginosus,NA,"Age 68, Female",Salivary samples were collected from two patients with periodontitis (a 34-year-old female patient with severe rapidly progressive periodontitis,Big Dye Terminator Cycle Sequencing Kit (Applied Biosystems) and an ABI PRISM 310 Genetic Analyzer (Applied Biosystems).,Saliva,Dental Disorder,Aggressive periodontitis,NA,NA,NA,NA,Homo sapiens,11021394,2000,43675,Microbe,NZ_ACVO00000000.1
SAL_20083,Abiotrophia elegans,NA,"Age 34, Female",Salivary samples were collected from two patients with periodontitis (a 34-year-old female patient with severe rapidly progressive periodontitis,Big Dye Terminator Cycle Sequencing Kit (Applied Biosystems) and an ABI PRISM 310 Genetic Analyzer (Applied Biosystems).,Saliva,Dental Disorder,Aggressive periodontitis,NA,NA,NA,NA,Homo sapiens,11021394,2000,46123,Microbe,NZ_KI535343.1
SAL_20084,Abiotrophia adiacens,NA,"Age 34, Female",Salivary samples were collected from two patients with periodontitis (a 34-year-old female patient with severe rapidly progressive periodontitis,Big Dye Terminator Cycle Sequencing Kit (Applied Biosystems) and an ABI PRISM 310 Genetic Analyzer (Applied Biosystems).,Saliva,Dental Disorder,Aggressive periodontitis,NA,NA,NA,NA,Homo sapiens,11021394,2000,46124,Microbe,NZ_CABFLJ000000000.1
SAL_20085,Actinobacillus minor,NA,"Age 68, Female",Salivary samples were collected from two patients with periodontitis (a 34-year-old female patient with severe rapidly progressive periodontitis,Big Dye Terminator Cycle Sequencing Kit (Applied Biosystems) and an ABI PRISM 310 Genetic Analyzer (Applied Biosystems).,Saliva,Dental Disorder,Aggressive periodontitis,NA,NA,NA,NA,Homo sapiens,11021394,2000,51047,Microbe,NZ_ACQL00000000.1
SAL_20086,Mitsuokella multacida,NA,"Age 34, Female",Salivary samples were collected from two patients with periodontitis (a 34-year-old female patient with severe rapidly progressive periodontitis,Big Dye Terminator Cycle Sequencing Kit (Applied Biosystems) and an ABI PRISM 310 Genetic Analyzer (Applied Biosystems).,Saliva,Dental Disorder,Aggressive periodontitis,NA,NA,NA,NA,Homo sapiens,11021394,2000,52226,Microbe,NZ_GG697146.2
SAL_20087,Treponema socranskii subsp. Socranskii,NA,"Age 34, Female",Salivary samples were collected from two patients with periodontitis (a 34-year-old female patient with severe rapidly progressive periodontitis,Big Dye Terminator Cycle Sequencing Kit (Applied Biosystems) and an ABI PRISM 310 Genetic Analyzer (Applied Biosystems).,Saliva,Dental Disorder,Aggressive periodontitis,NA,NA,NA,NA,Homo sapiens,11021394,2000,69715,Microbe,NZ_AVQI00000000.1
SAL_20088,Unidentified oral bacterium RF15,NA,"Age 34, Female",Salivary samples were collected from two patients with periodontitis (a 34-year-old female patient with severe rapidly progressive periodontitis,Big Dye Terminator Cycle Sequencing Kit (Applied Biosystems) and an ABI PRISM 310 Genetic Analyzer (Applied Biosystems).,Saliva,Dental Disorder,Aggressive periodontitis,NA,NA,NA,NA,Homo sapiens,11021394,2000,96143,Microbe,AB028363.1
SAL_20089,Unidentified oral bacterium 30-2,NA,"Age 34, Female",Salivary samples were collected from two patients with periodontitis (a 34-year-old female patient with severe rapidly progressive periodontitis,Big Dye Terminator Cycle Sequencing Kit (Applied Biosystems) and an ABI PRISM 310 Genetic Analyzer (Applied Biosystems).,Saliva,Dental Disorder,Aggressive periodontitis,NA,NA,NA,NA,Homo sapiens,11021394,2000,96143,Microbe,AB028363.1
SAL_20090,Prevotella tannerae,NA,"Age 34, Female",Salivary samples were collected from two patients with periodontitis (a 34-year-old female patient with severe rapidly progressive periodontitis,Big Dye Terminator Cycle Sequencing Kit (Applied Biosystems) and an ABI PRISM 310 Genetic Analyzer (Applied Biosystems).,Saliva,Dental Disorder,Aggressive periodontitis,NA,NA,NA,NA,Homo sapiens,11021394,2000,626522,Microbe,NZ_GG700647.1
SAL_20091,Peptostreptococcus micros,NA,"Age 34, Female",Salivary samples were collected from two patients with periodontitis (a 34-year-old female patient with severe rapidly progressive periodontitis,Big Dye Terminator Cycle Sequencing Kit (Applied Biosystems) and an ABI PRISM 310 Genetic Analyzer (Applied Biosystems).,Saliva,Dental Disorder,Aggressive periodontitis,NA,NA,NA,NA,Homo sapiens,11021394,2000,1073374,Microbe,NA
SAL_20092,Treponema denticola,NA,Young healthy subjects of different ethnic backgrounds in Los Angeles,Approximately 1ml of expectorated whole saliva was collected from each subject in a strerile plastic tube prior to any dental services,16S rRNA-based PCR reaction identification,Whole Saliva,Healthy,Healthy,NA,NA,NA,NA,Homo sapiens,11922257,2000,158,Microbe,NC_002967.9
SAL_20093,Aggregatibacter actinomycetemcomitans,NA,Young healthy subjects of different ethnic backgrounds in Los Angeles,Approximately 1ml of expectorated whole saliva was collected from each subject in a strerile plastic tube prior to any dental services,16S rRNA-based PCR reaction identification,Whole Saliva,Healthy,Healthy,NA,NA,NA,NA,Homo sapiens,11922257,2000,714,Microbe,NZ_CP085091.1
SAL_20094,Bacteroides forsythus,NA,Young healthy subjects of different ethnic backgrounds in Los Angeles,Approximately 1ml of expectorated whole saliva was collected from each subject in a strerile plastic tube prior to any dental services,16S rRNA-based PCR reaction identification,Whole Saliva,Healthy,Healthy,NA,NA,NA,NA,Homo sapiens,11922257,2000,816,Microbe,NZ_JAFBJK000000000.1
SAL_20095,Porphyromonas gingivalis,NA,Young healthy subjects of different ethnic backgrounds in Los Angeles,Approximately 1ml of expectorated whole saliva was collected from each subject in a strerile plastic tube prior to any dental services,16S rRNA-based PCR reaction identification,Whole Saliva,Healthy,Healthy,NA,NA,NA,NA,Homo sapiens,11922257,2000,837,Microbe,NC_002950.2
SAL_20096,Campylobacter concisus,NA,"Age 20-66, male and female",Saliva samples were collected in sterile plastic tubes from the above three subjects before and 3 months after treatment.,T-RFLP analysis,Whole Saliva,Dental Disorder,periodontitis,NA,NA,NA,NA,Homo sapiens,15150339,2004,199,Microbe,NZ_CP021643.1
SAL_20097,Porphyromonas gingivalis,NA,"Age 20-66, male and female",Saliva samples were collected in sterile plastic tubes from the above three subjects before and 3 months after treatment.,T-RFLP analysis,Whole Saliva,Dental Disorder,periodontitis,NA,NA,NA,NA,Homo sapiens,15150339,2004,837,Microbe,NC_002950.2
SAL_20098,Fusobacterium nucleatum,NA,"Age 20-66, male and female",Saliva samples were collected in sterile plastic tubes from the above three subjects before and 3 months after treatment.,T-RFLP analysis,Whole Saliva,Dental Disorder,periodontitis,NA,NA,NA,NA,Homo sapiens,15150339,2004,851,Microbe,NC_004974.1
SAL_20099,Selenomonas sp. BP2-20*,NA,"Age 20-66, male and female",Saliva samples were collected in sterile plastic tubes from the above three subjects before and 3 months after treatment.,T-RFLP analysis,Whole Saliva,Dental Disorder,periodontitis,NA,NA,NA,NA,Homo sapiens,15150339,2004,970,Microbe,NZ_CP017043.1
SAL_20100,Capnocytophaga sp. clone BP2-77*,NA,"Age 20-66, male and female",Saliva samples were collected in sterile plastic tubes from the above three subjects before and 3 months after treatment.,T-RFLP analysis,Whole Saliva,Dental Disorder,periodontitis,NA,NA,NA,NA,Homo sapiens,15150339,2004,1016,Microbe,NZ_CP022022.1
SAL_20101,Peptostreptococcus sp. clone FG014,NA,"Age 20-66, male and female",Saliva samples were collected in sterile plastic tubes from the above three subjects before and 3 months after treatment.,T-RFLP analysis,Whole Saliva,Dental Disorder,periodontitis,NA,NA,NA,NA,Homo sapiens,15150339,2004,1257,Microbe,NZ_JAGGLE000000000.1
SAL_20102,Peptostreptococcus sp. clone BS044,NA,"Age 20-66, male and female",Saliva samples were collected in sterile plastic tubes from the above three subjects before and 3 months after treatment.,T-RFLP analysis,Whole Saliva,Dental Disorder,periodontitis,NA,NA,NA,NA,Homo sapiens,15150339,2004,1257,Microbe,NZ_JAGGLE000000000.1
SAL_20103,Peptostreptococcus sp. clone AP24,NA,"Age 20-66, male and female",Saliva samples were collected in sterile plastic tubes from the above three subjects before and 3 months after treatment.,T-RFLP analysis,Whole Saliva,Dental Disorder,periodontitis,NA,NA,NA,NA,Homo sapiens,15150339,2004,1257,Microbe,NZ_JAGGLE000000000.1
SAL_20104,Peptostreptococcus sp. clone AJ062,NA,"Age 20-66, male and female",Saliva samples were collected in sterile plastic tubes from the above three subjects before and 3 months after treatment.,T-RFLP analysis,Whole Saliva,Dental Disorder,periodontitis,NA,NA,NA,NA,Homo sapiens,15150339,2004,1257,Microbe,NZ_JAGGLE000000000.1
SAL_20105,Streptococcus gordonii,NA,"Age 20-66, male and female",Saliva samples were collected in sterile plastic tubes from the above three subjects before and 3 months after treatment.,T-RFLP analysis,Whole Saliva,Dental Disorder,periodontitis,NA,NA,NA,NA,Homo sapiens,15150339,2004,1302,Microbe,NZ_CP017295.1
SAL_20106,Streptococcus salivarius,NA,"Age 20-66, male and female",Saliva samples were collected in sterile plastic tubes from the above three subjects before and 3 months after treatment.,T-RFLP analysis,Whole Saliva,Dental Disorder,periodontitis,NA,NA,NA,NA,Homo sapiens,15150339,2004,1304,Microbe,NZ_AGBV00000000.1
SAL_20107,Streptococcus sanguinis,NA,"Age 20-66, male and female",Saliva samples were collected in sterile plastic tubes from the above three subjects before and 3 months after treatment.,T-RFLP analysis,Whole Saliva,Dental Disorder,periodontitis,NA,NA,NA,NA,Homo sapiens,15150339,2004,1305,Microbe,NZ_LBFD00000000.1
SAL_20108,Streptococcus mutans,NA,"Age 20-66, male and female",Saliva samples were collected in sterile plastic tubes from the above three subjects before and 3 months after treatment.,T-RFLP analysis,Whole Saliva,Dental Disorder,periodontitis,NA,NA,NA,NA,Homo sapiens,15150339,2004,1309,Microbe,NZ_JAFEVV000000000.1
SAL_20109,Streptococcus anginosus,NA,"Age 20-66, male and female",Saliva samples were collected in sterile plastic tubes from the above three subjects before and 3 months after treatment.,T-RFLP analysis,Whole Saliva,Dental Disorder,periodontitis,NA,NA,NA,NA,Homo sapiens,15150339,2004,1328,Microbe,NZ_CP012719.1
SAL_20110,Streptococcus intermedius,NA,"Age 20-66, male and female",Saliva samples were collected in sterile plastic tubes from the above three subjects before and 3 months after treatment.,T-RFLP analysis,Whole Saliva,Dental Disorder,periodontitis,NA,NA,NA,NA,Homo sapiens,15150339,2004,1338,Microbe,NZ_JALGPR000000000.1
SAL_20111,Streptococcus sp. clone RP28,NA,"Age 20-66, male and female",Saliva samples were collected in sterile plastic tubes from the above three subjects before and 3 months after treatment.,T-RFLP analysis,Whole Saliva,Dental Disorder,periodontitis,NA,NA,NA,NA,Homo sapiens,15150339,2004,1343,Microbe,NZ_GL831132.1
SAL_20112,Streptococcus sp. clone BP1-91,NA,"Age 20-66, male and female",Saliva samples were collected in sterile plastic tubes from the above three subjects before and 3 months after treatment.,T-RFLP analysis,Whole Saliva,Dental Disorder,periodontitis,NA,NA,NA,NA,Homo sapiens,15150339,2004,1343,Microbe,NZ_GL831132.1
SAL_20113,Streptococcus mitis,NA,"Age 20-66, male and female",Saliva samples were collected in sterile plastic tubes from the above three subjects before and 3 months after treatment.,T-RFLP analysis,Whole Saliva,Dental Disorder,periodontitis,NA,NA,NA,NA,Homo sapiens,15150339,2004,28037,Microbe,NZ_CP014326.1
SAL_20114,Prevotella intermedia,NA,"Age 20-66, male and female",Saliva samples were collected in sterile plastic tubes from the above three subjects before and 3 months after treatment.,T-RFLP analysis,Whole Saliva,Dental Disorder,periodontitis,NA,NA,NA,NA,Homo sapiens,15150339,2004,28131,Microbe,NG_047636.1
SAL_20115,Prevotella melaninogenica,NA,"Age 20-66, male and female",Saliva samples were collected in sterile plastic tubes from the above three subjects before and 3 months after treatment.,T-RFLP analysis,Whole Saliva,Dental Disorder,periodontitis,NA,NA,NA,NA,Homo sapiens,15150339,2004,28132,Microbe,NG_047637.1
SAL_20116,Prevotella oulorum,NA,"Age 20-66, male and female",Saliva samples were collected in sterile plastic tubes from the above three subjects before and 3 months after treatment.,T-RFLP analysis,Whole Saliva,Dental Disorder,periodontitis,NA,NA,NA,NA,Homo sapiens,15150339,2004,28136,Microbe,NZ_FUXK00000000.1
SAL_20117,Neisseria pharyngis,NA,"Age 20-66, male and female",Saliva samples were collected in sterile plastic tubes from the above three subjects before and 3 months after treatment.,T-RFLP analysis,Whole Saliva,Dental Disorder,periodontitis,NA,NA,NA,NA,Homo sapiens,15150339,2004,29434,Microbe,OF261873.1
SAL_20118,Veillonella parvula,NA,"Age 20-66, male and female",Saliva samples were collected in sterile plastic tubes from the above three subjects before and 3 months after treatment.,T-RFLP analysis,Whole Saliva,Dental Disorder,periodontitis,NA,NA,NA,NA,Homo sapiens,15150339,2004,29466,Microbe,NZ_CP019721.1
SAL_20119,Eubacterium sp. clone PUS9.170,NA,"Age 20-66, male and female",Saliva samples were collected in sterile plastic tubes from the above three subjects before and 3 months after treatment.,T-RFLP analysis,Whole Saliva,Dental Disorder,periodontitis,NA,NA,NA,NA,Homo sapiens,15150339,2004,31985,Microbe,NA
SAL_20120,Eubacterium sp. clone BP1-27*,NA,"Age 20-66, male and female",Saliva samples were collected in sterile plastic tubes from the above three subjects before and 3 months after treatment.,T-RFLP analysis,Whole Saliva,Dental Disorder,periodontitis,NA,NA,NA,NA,Homo sapiens,15150339,2004,31985,Microbe,NA
SAL_20121,Eubacterium sp. clone AP54,NA,"Age 20-66, male and female",Saliva samples were collected in sterile plastic tubes from the above three subjects before and 3 months after treatment.,T-RFLP analysis,Whole Saliva,Dental Disorder,periodontitis,NA,NA,NA,NA,Homo sapiens,15150339,2004,31985,Microbe,NA
SAL_20122,Eubacterium sp. clone AP50,NA,"Age 20-66, male and female",Saliva samples were collected in sterile plastic tubes from the above three subjects before and 3 months after treatment.,T-RFLP analysis,Whole Saliva,Dental Disorder,periodontitis,NA,NA,NA,NA,Homo sapiens,15150339,2004,31985,Microbe,NA
SAL_20123,Rothia sp. strain ChDC B202,NA,"Age 20-66, male and female",Saliva samples were collected in sterile plastic tubes from the above three subjects before and 3 months after treatment.,T-RFLP analysis,Whole Saliva,Dental Disorder,periodontitis,NA,NA,NA,NA,Homo sapiens,15150339,2004,32207,Microbe,NZ_JAMAWZ000000000.1
SAL_20124,Eubacterium nodatum,NA,"Age 20-66, male and female",Saliva samples were collected in sterile plastic tubes from the above three subjects before and 3 months after treatment.,T-RFLP analysis,Whole Saliva,Dental Disorder,periodontitis,NA,NA,NA,NA,Homo sapiens,15150339,2004,35518,Microbe,NR_119311.1
SAL_20125,Mogibacterium timidum,NA,"Age 20-66, male and female",Saliva samples were collected in sterile plastic tubes from the above three subjects before and 3 months after treatment.,T-RFLP analysis,Whole Saliva,Dental Disorder,periodontitis,NA,NA,NA,NA,Homo sapiens,15150339,2004,35519,Microbe,NZ_JABXYR000000000.1
SAL_20126,Veillonella atypica,NA,"Age 20-66, male and female",Saliva samples were collected in sterile plastic tubes from the above three subjects before and 3 months after treatment.,T-RFLP analysis,Whole Saliva,Dental Disorder,periodontitis,NA,NA,NA,NA,Homo sapiens,15150339,2004,39777,Microbe,NZ_AMEX00000000.1
SAL_20127,Veillonella dispar,NA,"Age 20-66, male and female",Saliva samples were collected in sterile plastic tubes from the above three subjects before and 3 months after treatment.,T-RFLP analysis,Whole Saliva,Dental Disorder,periodontitis,NA,NA,NA,NA,Homo sapiens,15150339,2004,39778,Microbe,NZ_GG667606.1
SAL_20128,Rothia mucilaginosa,NA,"Age 20-66, male and female",Saliva samples were collected in sterile plastic tubes from the above three subjects before and 3 months after treatment.,T-RFLP analysis,Whole Saliva,Dental Disorder,periodontitis,NA,NA,NA,NA,Homo sapiens,15150339,2004,43675,Microbe,NZ_ACVO00000000.1
SAL_20129,Streptococcus cristatus,NA,"Age 20-66, male and female",Saliva samples were collected in sterile plastic tubes from the above three subjects before and 3 months after treatment.,T-RFLP analysis,Whole Saliva,Dental Disorder,periodontitis,NA,NA,NA,NA,Homo sapiens,15150339,2004,45634,Microbe,NZ_AEVC00000000.1
SAL_20130,Granulicatella adiacens,NA,"Age 20-66, male and female",Saliva samples were collected in sterile plastic tubes from the above three subjects before and 3 months after treatment.,T-RFLP analysis,Whole Saliva,Dental Disorder,periodontitis,NA,NA,NA,NA,Homo sapiens,15150339,2004,46124,Microbe,NZ_CABFLJ000000000.1
SAL_20131,Eubacterium saphenum,NA,"Age 20-66, male and female",Saliva samples were collected in sterile plastic tubes from the above three subjects before and 3 months after treatment.,T-RFLP analysis,Whole Saliva,Dental Disorder,periodontitis,NA,NA,NA,NA,Homo sapiens,15150339,2004,51123,Microbe,NR_026031.1
SAL_20132,Pseudoramibacter alactolyticus,NA,"Age 20-66, male and female",Saliva samples were collected in sterile plastic tubes from the above three subjects before and 3 months after treatment.,T-RFLP analysis,Whole Saliva,Dental Disorder,periodontitis,NA,NA,NA,NA,Homo sapiens,15150339,2004,113287,Microbe,NZ_GL622400.1
